"Cloudlet ID","STATUS","Data center ID","VM ID","Time","Start Time","Finish Time","user id"
"9","SUCCESS","3","9","1.11","0.2","1.31","4"
"4","SUCCESS","2","4","1.71","0.2","1.91","4"
"12","SUCCESS","3","12","1.84","0.2","2.04","4"
"8","SUCCESS","3","8","2.1","0.2","2.3","4"
"2","SUCCESS","2","2","2.23","0.2","2.43","4"
"11","SUCCESS","3","11","2.31","0.2","2.51","4"
"0","SUCCESS","2","0","2.39","0.2","2.59","4"
"7","SUCCESS","3","7","2.56","0.2","2.76","4"
"16","SUCCESS","3","12","1.49","2.04","3.53","4"
"18","SUCCESS","2","2","1.33","2.43","3.75","4"
"5","SUCCESS","2","5","3.71","0.2","3.91","4"
"14","SUCCESS","3","9","2.69","1.31","4","4"
"15","SUCCESS","2","4","2.16","1.91","4.06","4"
"1","SUCCESS","2","1","3.97","0.2","4.17","4"
"20","SUCCESS","2","0","1.7","2.59","4.28","4"
"17","SUCCESS","3","8","2.24","2.3","4.54","4"
"3","SUCCESS","2","3","4.45","0.2","4.65","4"
"6","SUCCESS","2","6","4.64","0.2","4.84","4"
"10","SUCCESS","3","10","4.79","0.2","4.99","4"
"13","SUCCESS","3","13","5.2","0.2","5.4","4"
"21","SUCCESS","3","7","2.75","2.76","5.51","4"
"25","SUCCESS","3","9","1.92","4","5.92","4"
"19","SUCCESS","3","11","3.52","2.51","6.03","4"
"26","SUCCESS","2","4","2.27","4.06","6.34","4"
"23","SUCCESS","2","2","2.75","3.75","6.5","4"
"27","SUCCESS","2","1","2.59","4.17","6.77","4"
"22","SUCCESS","3","12","3.46","3.53","6.99","4"
"28","SUCCESS","2","0","2.93","4.28","7.21","4"
"35","SUCCESS","3","9","1.52","5.92","7.44","4"
"29","SUCCESS","3","8","3.06","4.54","7.6","4"
"32","SUCCESS","3","10","2.92","4.99","7.9","4"
"30","SUCCESS","2","3","3.56","4.65","8.2","4"
"38","SUCCESS","2","2","1.81","6.5","8.31","4"
"33","SUCCESS","3","13","3.83","5.4","9.23","4"
"31","SUCCESS","2","6","4.39","4.84","9.23","4"
"24","SUCCESS","2","5","5.46","3.91","9.36","4"
"40","SUCCESS","3","12","2.48","6.99","9.47","4"
"37","SUCCESS","2","4","3.13","6.34","9.47","4"
"34","SUCCESS","3","7","4.13","5.51","9.64","4"
"41","SUCCESS","2","0","2.5","7.21","9.72","4"
"43","SUCCESS","3","8","2.25","7.6","9.85","4"
"39","SUCCESS","2","1","3.2","6.77","9.97","4"
"42","SUCCESS","3","9","2.77","7.44","10.22","4"
"36","SUCCESS","3","11","4.29","6.03","10.33","4"
"44","SUCCESS","3","10","2.57","7.9","10.48","4"
"46","SUCCESS","2","2","2.85","8.31","11.17","4"
"53","SUCCESS","2","0","1.66","9.72","11.38","4"
"50","SUCCESS","2","4","2.04","9.47","11.51","4"
"51","SUCCESS","3","12","2.63","9.47","12.1","4"
"49","SUCCESS","2","5","2.78","9.36","12.14","4"
"45","SUCCESS","2","3","4.05","8.2","12.25","4"
"55","SUCCESS","2","1","2.4","9.97","12.37","4"
"59","SUCCESS","2","2","1.31","11.17","12.48","4"
"54","SUCCESS","3","8","3.04","9.85","12.89","4"
"47","SUCCESS","3","13","3.77","9.23","13","4"
"57","SUCCESS","3","9","2.9","10.22","13.11","4"
"56","SUCCESS","3","11","3.16","10.33","13.49","4"
"66","SUCCESS","2","2","1.02","12.48","13.5","4"
"60","SUCCESS","2","0","2.65","11.38","14.03","4"
"58","SUCCESS","3","10","3.79","10.48","14.27","4"
"65","SUCCESS","2","1","1.92","12.37","14.29","4"
"69","SUCCESS","3","9","1.3","13.11","14.41","4"
"52","SUCCESS","3","7","4.98","9.64","14.62","4"
"63","SUCCESS","2","5","2.54","12.14","14.68","4"
"61","SUCCESS","2","4","3.29","11.51","14.79","4"
"48","SUCCESS","2","6","5.67","9.23","14.9","4"
"62","SUCCESS","3","12","3.07","12.1","15.17","4"
"72","SUCCESS","2","0","1.31","14.03","15.34","4"
"73","SUCCESS","2","1","1.82","14.29","16.11","4"
