"Cloudlet ID","STATUS","Data center ID","VM ID","Time","Start Time","Finish Time","user id"
"9","SUCCESS","3","9","1.11","0.2","1.31","4"
"4","SUCCESS","2","4","1.71","0.2","1.91","4"
"12","SUCCESS","3","12","1.84","0.2","2.04","4"
"8","SUCCESS","3","8","2.1","0.2","2.3","4"
"2","SUCCESS","2","2","2.23","0.2","2.43","4"
"11","SUCCESS","3","11","2.31","0.2","2.51","4"
"0","SUCCESS","2","0","2.39","0.2","2.59","4"
"7","SUCCESS","3","7","2.56","0.2","2.76","4"
"16","SUCCESS","2","2","1.21","2.43","3.64","4"
"18","SUCCESS","2","4","1.84","1.91","3.75","4"
"5","SUCCESS","2","5","3.7","0.2","3.9","4"
"1","SUCCESS","2","1","3.87","0.2","4.07","4"
"23","SUCCESS","3","9","2.79","1.31","4.1","4"
"26","SUCCESS","3","12","2.16","2.04","4.21","4"
"3","SUCCESS","2","3","4.45","0.2","4.65","4"
"6","SUCCESS","2","6","4.64","0.2","4.84","4"
"10","SUCCESS","3","10","4.79","0.2","4.99","4"
"14","SUCCESS","2","0","2.8","2.59","5.39","4"
"13","SUCCESS","3","13","5.2","0.2","5.4","4"
"21","SUCCESS","3","7","2.75","2.76","5.51","4"
"25","SUCCESS","3","11","3.4","2.51","5.91","4"
"30","SUCCESS","2","2","2.41","3.64","6.05","4"
"32","SUCCESS","2","4","2.41","3.75","6.16","4"
"15","SUCCESS","2","1","2.27","4.07","6.34","4"
"37","SUCCESS","3","9","2.26","4.1","6.36","4"
"40","SUCCESS","3","12","2.48","4.21","6.68","4"
"17","SUCCESS","2","3","2.06","4.65","6.7","4"
"22","SUCCESS","3","8","4.52","2.3","6.82","4"
"44","SUCCESS","2","2","1.53","6.05","7.58","4"
"19","SUCCESS","2","5","3.78","3.9","7.69","4"
"35","SUCCESS","3","7","2.48","5.51","7.99","4"
"20","SUCCESS","2","6","3.23","4.84","8.07","4"
"28","SUCCESS","2","0","2.93","5.39","8.32","4"
"51","SUCCESS","3","9","2.17","6.36","8.53","4"
"54","SUCCESS","3","12","2.32","6.68","9.01","4"
"29","SUCCESS","2","1","2.71","6.34","9.06","4"
"27","SUCCESS","3","13","3.72","5.4","9.12","4"
"24","SUCCESS","3","10","4.63","4.99","9.62","4"
"58","SUCCESS","2","2","2.25","7.58","9.83","4"
"65","SUCCESS","3","9","1.36","8.53","9.89","4"
"31","SUCCESS","2","3","3.23","6.7","9.94","4"
"39","SUCCESS","3","11","4.09","5.91","10","4"
"46","SUCCESS","2","4","3.89","6.16","10.05","4"
"49","SUCCESS","3","7","2.31","7.99","10.3","4"
"36","SUCCESS","3","8","3.82","6.82","10.65","4"
"43","SUCCESS","2","1","2","9.06","11.05","4"
"72","SUCCESS","2","2","1.34","9.83","11.16","4"
"42","SUCCESS","2","0","2.96","8.32","11.27","4"
"33","SUCCESS","2","5","3.74","7.69","11.42","4"
"79","SUCCESS","3","9","1.67","9.89","11.56","4"
"68","SUCCESS","3","12","3.39","9.01","12.4","4"
"63","SUCCESS","3","7","2.21","10.3","12.51","4"
"38","SUCCESS","3","10","3","9.62","12.62","4"
"93","SUCCESS","3","9","1.17","11.56","12.73","4"
"53","SUCCESS","3","11","2.84","10","12.84","4"
"50","SUCCESS","3","8","2.42","10.65","13.07","4"
"86","SUCCESS","2","2","1.92","11.16","13.08","4"
"56","SUCCESS","2","0","1.92","11.27","13.19","4"
"34","SUCCESS","2","6","5.23","8.07","13.3","4"
"60","SUCCESS","2","4","3.4","10.05","13.45","4"
"45","SUCCESS","2","3","3.96","9.94","13.9","4"
"41","SUCCESS","3","13","4.83","9.12","13.95","4"
"47","SUCCESS","2","5","3.59","11.42","15.01","4"
"57","SUCCESS","2","1","4.07","11.05","15.12","4"
"100","SUCCESS","2","2","2.04","13.08","15.12","4"
"107","SUCCESS","3","9","2.46","12.73","15.19","4"
"82","SUCCESS","3","12","2.91","12.4","15.31","4"
"59","SUCCESS","2","3","1.93","13.9","15.83","4"
"70","SUCCESS","2","0","2.8","13.19","15.99","4"
