"Cloudlet","","Vertual Machine","","Length","Load","","Length","Load","","Length","Load","","Length","Load","","Length","Load","","Length","Load","","Length","Load","","Length","Load","","Length","Load","","Length","Load","","Length","Load","","Length","Load","","Length","Load","","Length","Load",""
"","","","","936","","","694","","","988","","","670","","","730","","","497","","","477","","","599","","","615","","","975","","","586","","","551","","","804","","","485","",""
"CL = 0"," -> ","VM = 0","","2235.0","2.3878205128205128","","0.0","0.0","","0.0","0.0","","0.0","0.0","","0.0","0.0","","0.0","0.0","","0.0","0.0","","0.0","0.0","","0.0","0.0","","0.0","0.0","","0.0","0.0","","0.0","0.0","","0.0","0.0","","0.0","0.0",""
"CL = 1"," -> ","VM = 1","","2235.0","2.3878205128205128","","2688.0","3.873198847262248","","0.0","0.0","","0.0","0.0","","0.0","0.0","","0.0","0.0","","0.0","0.0","","0.0","0.0","","0.0","0.0","","0.0","0.0","","0.0","0.0","","0.0","0.0","","0.0","0.0","","0.0","0.0",""
"CL = 2"," -> ","VM = 2","","2235.0","2.3878205128205128","","2688.0","3.873198847262248","","2204.0","2.230769230769231","","0.0","0.0","","0.0","0.0","","0.0","0.0","","0.0","0.0","","0.0","0.0","","0.0","0.0","","0.0","0.0","","0.0","0.0","","0.0","0.0","","0.0","0.0","","0.0","0.0",""
"CL = 3"," -> ","VM = 3","","2235.0","2.3878205128205128","","2688.0","3.873198847262248","","2204.0","2.230769230769231","","2979.0","4.446268656716418","","0.0","0.0","","0.0","0.0","","0.0","0.0","","0.0","0.0","","0.0","0.0","","0.0","0.0","","0.0","0.0","","0.0","0.0","","0.0","0.0","","0.0","0.0",""
"CL = 4"," -> ","VM = 4","","2235.0","2.3878205128205128","","2688.0","3.873198847262248","","2204.0","2.230769230769231","","2979.0","4.446268656716418","","1245.0","1.7054794520547945","","0.0","0.0","","0.0","0.0","","0.0","0.0","","0.0","0.0","","0.0","0.0","","0.0","0.0","","0.0","0.0","","0.0","0.0","","0.0","0.0",""
"CL = 5"," -> ","VM = 5","","2235.0","2.3878205128205128","","2688.0","3.873198847262248","","2204.0","2.230769230769231","","2979.0","4.446268656716418","","1245.0","1.7054794520547945","","1842.0","3.7062374245472838","","0.0","0.0","","0.0","0.0","","0.0","0.0","","0.0","0.0","","0.0","0.0","","0.0","0.0","","0.0","0.0","","0.0","0.0",""
"CL = 6"," -> ","VM = 6","","2235.0","2.3878205128205128","","2688.0","3.873198847262248","","2204.0","2.230769230769231","","2979.0","4.446268656716418","","1245.0","1.7054794520547945","","1842.0","3.7062374245472838","","2214.0","4.6415094339622645","","0.0","0.0","","0.0","0.0","","0.0","0.0","","0.0","0.0","","0.0","0.0","","0.0","0.0","","0.0","0.0",""
"CL = 7"," -> ","VM = 7","","2235.0","2.3878205128205128","","2688.0","3.873198847262248","","2204.0","2.230769230769231","","2979.0","4.446268656716418","","1245.0","1.7054794520547945","","1842.0","3.7062374245472838","","2214.0","4.6415094339622645","","1532.0","2.5575959933222037","","0.0","0.0","","0.0","0.0","","0.0","0.0","","0.0","0.0","","0.0","0.0","","0.0","0.0",""
"CL = 8"," -> ","VM = 8","","2235.0","2.3878205128205128","","2688.0","3.873198847262248","","2204.0","2.230769230769231","","2979.0","4.446268656716418","","1245.0","1.7054794520547945","","1842.0","3.7062374245472838","","2214.0","4.6415094339622645","","1532.0","2.5575959933222037","","1292.0","2.100813008130081","","0.0","0.0","","0.0","0.0","","0.0","0.0","","0.0","0.0","","0.0","0.0",""
"CL = 9"," -> ","VM = 9","","2235.0","2.3878205128205128","","2688.0","3.873198847262248","","2204.0","2.230769230769231","","2979.0","4.446268656716418","","1245.0","1.7054794520547945","","1842.0","3.7062374245472838","","2214.0","4.6415094339622645","","1532.0","2.5575959933222037","","1292.0","2.100813008130081","","1084.0","1.1117948717948718","","0.0","0.0","","0.0","0.0","","0.0","0.0","","0.0","0.0",""
"CL = 10"," -> ","VM = 10","","2235.0","2.3878205128205128","","2688.0","3.873198847262248","","2204.0","2.230769230769231","","2979.0","4.446268656716418","","1245.0","1.7054794520547945","","1842.0","3.7062374245472838","","2214.0","4.6415094339622645","","1532.0","2.5575959933222037","","1292.0","2.100813008130081","","1084.0","1.1117948717948718","","2807.0","4.790102389078498","","0.0","0.0","","0.0","0.0","","0.0","0.0",""
"CL = 11"," -> ","VM = 11","","2235.0","2.3878205128205128","","2688.0","3.873198847262248","","2204.0","2.230769230769231","","2979.0","4.446268656716418","","1245.0","1.7054794520547945","","1842.0","3.7062374245472838","","2214.0","4.6415094339622645","","1532.0","2.5575959933222037","","1292.0","2.100813008130081","","1084.0","1.1117948717948718","","2807.0","4.790102389078498","","1274.0","2.3121597096188746","","0.0","0.0","","0.0","0.0",""
"CL = 12"," -> ","VM = 12","","2235.0","2.3878205128205128","","2688.0","3.873198847262248","","2204.0","2.230769230769231","","2979.0","4.446268656716418","","1245.0","1.7054794520547945","","1842.0","3.7062374245472838","","2214.0","4.6415094339622645","","1532.0","2.5575959933222037","","1292.0","2.100813008130081","","1084.0","1.1117948717948718","","2807.0","4.790102389078498","","1274.0","2.3121597096188746","","1482.0","1.8432835820895523","","0.0","0.0",""
"CL = 13"," -> ","VM = 13","","2235.0","2.3878205128205128","","2688.0","3.873198847262248","","2204.0","2.230769230769231","","2979.0","4.446268656716418","","1245.0","1.7054794520547945","","1842.0","3.7062374245472838","","2214.0","4.6415094339622645","","1532.0","2.5575959933222037","","1292.0","2.100813008130081","","1084.0","1.1117948717948718","","2807.0","4.790102389078498","","1274.0","2.3121597096188746","","1482.0","1.8432835820895523","","2522.0","5.2",""
"CL = 14"," -> ","VM = 9","","2235.0","2.3878205128205128","","2688.0","3.873198847262248","","2204.0","2.230769230769231","","2979.0","4.446268656716418","","1245.0","1.7054794520547945","","1842.0","3.7062374245472838","","2214.0","4.6415094339622645","","1532.0","2.5575959933222037","","1292.0","2.100813008130081","","3708.0","3.8030769230769232","","2807.0","4.790102389078498","","1274.0","2.3121597096188746","","1482.0","1.8432835820895523","","2522.0","5.2",""
