"Cloudlet","","Vertual Machine","","Length","Load","","Length","Load","","Length","Load","","Length","Load","","Length","Load","","Length","Load","","Length","Load","","Length","Load","","Length","Load","","Length","Load",""
"","","","","464.0","","","932.0","","","497.0","","","731.0","","","766.0","","","975.0","","","666.0","","","554.0","","","914.0","","","467.0","",""
"CL = 0"," -> ","VM = 0","","2555.0","5.506465517241379","","0.0","0.0","","0.0","0.0","","0.0","0.0","","0.0","0.0","","0.0","0.0","","0.0","0.0","","0.0","0.0","","0.0","0.0","","0.0","0.0",""
"CL = 1"," -> ","VM = 1","","2555.0","5.506465517241379","","2930.0","3.143776824034335","","0.0","0.0","","0.0","0.0","","0.0","0.0","","0.0","0.0","","0.0","0.0","","0.0","0.0","","0.0","0.0","","0.0","0.0",""
"CL = 2"," -> ","VM = 2","","2555.0","5.506465517241379","","2930.0","3.143776824034335","","1835.0","3.6921529175050303","","0.0","0.0","","0.0","0.0","","0.0","0.0","","0.0","0.0","","0.0","0.0","","0.0","0.0","","0.0","0.0",""
"CL = 3"," -> ","VM = 3","","2555.0","5.506465517241379","","2930.0","3.143776824034335","","1835.0","3.6921529175050303","","2101.0","2.8741450068399454","","0.0","0.0","","0.0","0.0","","0.0","0.0","","0.0","0.0","","0.0","0.0","","0.0","0.0",""
"CL = 4"," -> ","VM = 4","","2555.0","5.506465517241379","","2930.0","3.143776824034335","","1835.0","3.6921529175050303","","2101.0","2.8741450068399454","","2322.0","3.031331592689295","","0.0","0.0","","0.0","0.0","","0.0","0.0","","0.0","0.0","","0.0","0.0",""
"CL = 5"," -> ","VM = 5","","2555.0","5.506465517241379","","2930.0","3.143776824034335","","1835.0","3.6921529175050303","","2101.0","2.8741450068399454","","2322.0","3.031331592689295","","2508.0","2.5723076923076924","","0.0","0.0","","0.0","0.0","","0.0","0.0","","0.0","0.0",""
"CL = 6"," -> ","VM = 6","","2555.0","5.506465517241379","","2930.0","3.143776824034335","","1835.0","3.6921529175050303","","2101.0","2.8741450068399454","","2322.0","3.031331592689295","","2508.0","2.5723076923076924","","2508.0","3.765765765765766","","0.0","0.0","","0.0","0.0","","0.0","0.0",""
"CL = 7"," -> ","VM = 7","","2555.0","5.506465517241379","","2930.0","3.143776824034335","","1835.0","3.6921529175050303","","2101.0","2.8741450068399454","","2322.0","3.031331592689295","","2508.0","2.5723076923076924","","2508.0","3.765765765765766","","1262.0","2.2779783393501805","","0.0","0.0","","0.0","0.0",""
"CL = 8"," -> ","VM = 8","","2555.0","5.506465517241379","","2930.0","3.143776824034335","","1835.0","3.6921529175050303","","2101.0","2.8741450068399454","","2322.0","3.031331592689295","","2508.0","2.5723076923076924","","2508.0","3.765765765765766","","1262.0","2.2779783393501805","","2273.0","2.4868708971553612","","0.0","0.0",""
